Time (msec),A/F Sensor #1 (AFR),Boost Error* (psi),CL/OL Fueling* (status),Engine Load (4-Byte)* (g/rev),Engine Speed (rpm),Feedback Knock Correction (1-byte)** (degrees),Fine Learning Knock Correction (degrees),Fuel Injector #1 Latency (4-byte)* (ms),Fuel Injector #1 Pulse Width (ms),IAM (4-byte)* (multiplier),Ignition Base Timing* (degrees),Ignition Total Timing (degrees),Intake VVT Advance Angle Left (degrees),Intake VVT Advance Angle Right (degrees),Knock Sum Cylinder 1* (count),Knock Sum Cylinder 2* (count),Knock Sum Cylinder 3* (count),Knock Sum Cylinder 4* (count),Learned Ignition Timing (degrees),Manifold Absolute Pressure (4-byte)* (psi absolute),Mass Airflow (g/s),Mass Airflow Sensor Voltage (V),Primary Open Loop Map Enrichment (2-byte)** (estimated AFR),Primary WGDC Maximum (1-byte)** (%),Primary Wastegate Duty Cycle (%),Primary Wastegate Duty Maximum* (4-byte)* (%),Requested Torque* (raw ecu value),Target Boost Relative (4-byte)* (psi relative),Throttle Plate Opening Angle (4-byte)* (%),Tip-in Enrichment (Last Calculated)* (raw ecu value),Tip-in Throttle* (%)
5863,14.47,-11.79,8,0.25,1460,0.00,0.00,0.7955,2.05,1.0000,16.91,18.50,0,0,0,0,0,0,0.00,14.47,6.14,1.36,14.70,0.00,0.00,0.000,0.00,-12.78,0.00,0,0.000
6025,14.59,-11.79,8,0.25,1458,0.00,0.00,0.7975,2.05,1.0000,16.91,19.00,0,0,0,0,0,0,0.00,14.47,6.14,1.36,14.70,0.00,0.00,0.000,0.00,-12.78,0.00,0,0.000
6188,14.59,-11.80,8,0.25,1458,0.00,0.00,0.7955,2.05,1.0000,16.91,18.50,0,0,0,0,0,0,0.00,14.47,6.10,1.34,14.70,0.00,0.00,0.000,0.00,-12.78,0.00,0,0.000
6351,14.59,-11.79,8,0.25,1460,0.00,0.00,0.7935,2.05,1.0000,16.91,18.50,0,0,0,0,0,0,0.00,14.47,6.10,1.36,14.70,0.00,0.00,0.000,0.00,-12.78,0.00,0,0.000
6515,14.59,-11.79,8,0.25,1464,0.00,0.00,0.7935,2.05,1.0000,16.91,18.00,0,0,0,0,0,0,0.00,14.47,6.10,1.34,14.70,0.00,0.00,0.000,0.00,-12.78,0.00,0,0.000
6677,14.59,-11.79,8,0.25,1465,0.00,0.00,0.7945,2.05,1.0000,16.91,18.00,0,0,0,0,0,0,0.00,14.47,6.10,1.34,14.70,0.00,0.00,0.000,0.00,-12.78,0.00,0,0.000
6840,14.59,-11.79,8,0.25,1466,0.00,0.00,0.7925,2.05,1.0000,16.91,18.00,0,0,0,0,0,0,0.00,14.47,6.14,1.36,14.70,0.00,0.00,0.000,0.00,-12.78,0.00,0,0.000
7003,14.59,-11.79,8,0.25,1464,0.00,0.00,0.7955,2.05,1.0000,16.91,19.00,0,0,0,0,0,0,0.00,14.47,6.10,1.36,14.70,0.00,0.00,0.000,0.00,-12.78,0.00,0,0.000
7166,14.70,-11.79,8,0.25,1446,0.00,0.00,0.7955,2.05,1.0000,16.91,19.50,0,0,0,0,0,0,0.00,14.47,6.10,1.36,14.70,0.00,0.00,0.000,0.00,-12.78,0.00,0,0.000
7329,14.59,-11.79,8,0.25,1453,0.00,0.00,0.7935,2.05,1.0000,16.91,19.00,0,0,0,0,0,0,0.00,14.47,6.10,1.36,14.70,0.00,0.00,0.000,0.00,-12.78,0.00,0,0.000
7492,14.59,-11.79,8,0.25,1458,0.00,0.00,0.7945,2.05,1.0000,16.91,19.00,0,0,0,0,0,0,0.00,14.47,6.10,1.36,14.70,0.00,0.00,0.000,0.00,-12.78,0.00,0,0.000
7655,14.59,-11.79,8,0.25,1455,0.00,0.00,0.7955,2.05,1.0000,16.91,19.00,0,0,0,0,0,0,0.00,14.49,6.14,1.36,14.70,0.00,0.00,0.000,0.00,-12.78,0.00,0,0.000
7818,14.59,-11.79,8,0.25,1456,0.00,0.00,0.7945,2.05,1.0000,16.91,20.00,0,0,0,0,0,0,0.00,14.47,6.10,1.34,14.70,0.00,0.00,0.000,0.00,-12.78,0.00,0,0.000
7980,14.59,-11.79,8,0.25,1448,0.00,0.00,0.7975,2.05,1.0000,16.91,19.50,0,0,0,0,0,0,0.00,14.47,6.10,1.36,14.70,0.00,0.00,0.000,0.00,-12.78,0.00,0,0.000
8144,14.59,-11.79,8,0.25,1445,0.00,0.00,0.7945,2.05,1.0000,16.91,19.50,0,0,0,0,0,0,0.00,14.49,6.10,1.36,14.70,0.00,0.00,0.000,0.00,-12.78,0.00,0,0.000
8306,14.59,-11.79,8,0.25,1447,0.00,0.00,0.7955,2.05,1.0000,16.91,20.00,0,0,0,0,0,0,0.00,14.47,6.06,1.34,14.70,0.00,0.00,0.000,0.00,-12.78,0.00,0,0.000
8469,14.59,-11.79,8,0.25,1441,0.00,0.00,0.7988,2.05,1.0000,16.91,19.50,0,0,0,0,0,0,0.00,14.50,6.03,1.34,14.70,0.00,0.00,0.000,0.00,-12.78,0.00,0,0.000
8632,14.59,-11.80,8,0.25,1451,0.00,0.00,0.7945,2.05,1.0000,16.91,19.50,0,0,0,0,0,0,0.00,14.49,6.06,1.34,14.70,0.00,0.00,0.000,0.00,-12.78,0.00,0,0.000
8796,14.59,-11.79,8,0.25,1450,0.00,0.00,0.7975,2.05,1.0000,16.91,19.00,0,0,0,0,0,0,0.00,14.47,6.06,1.34,14.70,0.00,0.00,0.000,0.00,-12.78,0.00,0,0.000
8959,14.59,-11.79,8,0.25,1464,0.00,0.00,0.7945,2.05,1.0000,16.91,19.00,0,0,0,0,0,0,0.00,14.47,6.10,1.34,14.70,0.00,0.00,0.000,0.00,-12.78,0.00,0,-0.031
9121,14.59,-11.79,8,0.25,1467,0.00,0.00,0.7913,2.05,1.0000,16.91,18.00,0,0,0,0,0,0,0.00,14.49,6.06,1.34,14.70,0.00,0.00,0.000,0.00,-12.78,0.00,0,0.031
9285,14.59,-11.80,8,0.25,1465,0.00,0.00,0.7925,2.05,1.0000,16.91,18.50,0,0,0,0,0,0,0.00,14.47,6.06,1.34,14.70,0.00,0.00,0.000,0.00,-12.78,0.00,0,-0.122
9447,14.59,-11.79,8,0.25,1459,0.00,0.00,0.7955,2.05,1.0000,16.91,18.50,0,0,0,0,0,0,0.00,14.47,6.06,1.34,14.70,0.00,0.00,0.000,0.00,-12.78,0.00,0,0.000
9610,14.59,-11.79,8,0.25,1461,0.00,0.00,0.7965,2.05,1.0000,16.91,18.50,0,0,0,0,0,0,0.00,14.47,6.06,1.34,14.70,0.00,0.00,0.000,0.00,-12.78,0.00,0,0.000
9773,14.59,-11.79,8,0.25,1462,0.00,0.00,0.7945,2.05,1.0000,16.91,18.00,0,0,0,0,0,0,0.00,14.50,6.06,1.34,14.70,0.00,0.00,0.000,0.00,-12.78,0.00,0,0.000
9936,14.47,-11.79,8,0.25,1462,0.00,0.00,0.7935,2.05,1.0000,16.91,18.50,0,0,0,0,0,0,0.00,14.47,6.06,1.34,14.70,0.00,0.00,0.000,0.00,-12.78,0.00,0,0.000
10098,14.47,-11.79,8,0.25,1460,0.00,0.00,0.7945,2.05,1.0000,16.91,18.50,0,0,0,0,0,0,0.00,14.47,6.03,1.34,14.70,0.00,0.00,0.000,0.00,-12.78,0.00,0,0.000
10262,14.47,-11.80,8,0.25,1459,0.00,0.00,0.7975,2.05,1.0000,16.91,18.50,0,0,0,0,0,0,0.00,14.49,6.03,1.34,14.70,0.00,0.00,0.000,0.00,-12.78,0.00,0,0.000
10425,14.47,-11.80,8,0.25,1464,0.00,0.00,0.7945,2.05,1.0000,16.91,18.50,0,0,0,0,0,0,0.00,14.47,6.03,1.34,14.70,0.00,0.00,0.000,0.00,-12.78,0.00,0,0.000
10588,14.59,-11.79,8,0.25,1462,0.00,0.00,0.7955,2.05,1.0000,16.91,18.50,0,0,0,0,0,0,0.00,14.47,6.03,1.34,14.70,0.00,0.00,0.000,0.00,-12.78,0.00,0,0.000
10750,14.47,-11.79,8,0.25,1460,0.00,0.00,0.7945,2.05,1.0000,16.91,18.00,0,0,0,0,0,0,0.00,14.47,6.03,1.34,14.70,0.00,0.00,0.000,0.00,-12.78,0.00,0,0.000
10913,14.47,-11.79,8,0.25,1456,0.00,0.00,0.7925,2.05,1.0000,16.91,19.00,0,0,0,0,0,0,0.00,14.47,6.06,1.34,14.70,0.00,0.00,0.000,0.00,-12.78,0.00,0,0.000
11076,14.47,-11.79,8,0.25,1444,0.00,0.00,0.7965,2.05,1.0000,16.91,19.50,0,0,0,0,0,0,0.00,14.47,6.03,1.34,14.70,0.00,0.00,0.000,0.00,-12.78,0.00,0,0.000
11239,14.47,-11.79,8,0.25,1448,0.00,0.00,0.7965,2.05,1.0000,16.91,19.50,0,0,0,0,0,0,0.00,14.47,6.03,1.34,14.70,0.00,0.00,0.000,0.00,-12.78,0.00,0,0.000
11403,14.47,-11.79,8,0.25,1448,0.00,0.00,0.7975,2.05,1.0000,16.91,19.50,0,0,0,0,0,0,0.00,14.47,6.06,1.34,14.70,0.00,0.00,0.000,0.00,-12.78,0.00,0,0.000
11566,14.47,-11.79,8,0.25,1446,0.00,0.00,0.7913,2.05,1.0000,16.91,19.50,0,0,0,0,0,0,0.00,14.47,6.03,1.34,14.70,0.00,0.00,0.000,0.00,-12.78,0.00,0,0.000
11728,14.47,-11.79,8,0.25,1446,0.00,0.00,0.7965,2.05,1.0000,16.91,19.50,0,0,0,0,0,0,0.00,14.47,6.03,1.34,14.70,0.00,0.00,0.000,0.00,-12.78,0.00,0,0.000
11891,14.47,-11.79,8,0.25,1452,0.00,0.00,0.7975,2.05,1.0000,16.91,19.00,0,0,0,0,0,0,0.00,14.47,5.99,1.34,14.70,0.00,0.00,0.000,0.00,-12.78,0.00,0,0.000
